lu_class,lu_class_description,fao_code,spam2000,spam2005_spam2010,spam2020
CL-BANP,banana / plantain,486,BANP,BANA,BANA
CL-BANP,banana / plantain,489,BANP,PLNT,PLNT
CL-BARL,barley,44,BARL,BARL,BARL
CL-BEAN,bean,176,BEAN,BEAN,BEAN
CL-CASS,cassava,125,CASS,CASS,CASS
CL-COFF,coffee,656,COFF,"ACOF, RFOC","ACOF, RCOF"
CL-COTT,cotton,328,COTT,COTT,COTT
CL-GROU,groundnut,242,GROU,GROU,GROU
CL-MAIZ,maize,56,MAIZ,MAIZ,MAIZ
CL-MILL,millet,79,MILL,"PMIL, SMIL","PMIL, SMIL"
CL-OFIB,other fiber crops,773,OFIB,OFIB,OFIB
CL-OFIB,other fiber crops,777,OFIB,OFIB,OFIB
CL-OFIB,other fiber crops,780,OFIB,OFIB,OFIB
CL-OFIB,other fiber crops,782,OFIB,OFIB,OFIB
CL-OFIB,other fiber crops,788,OFIB,OFIB,OFIB
CL-OFIB,other fiber crops,789,OFIB,OFIB,OFIB
CL-OFIB,other fiber crops,800,OFIB,OFIB,OFIB
CL-OFIB,other fiber crops,809,OFIB,OFIB,OFIB
CL-OFIB,other fiber crops,813,OFIB,OFIB,OFIB
CL-OFIB,other fiber crops,821,OFIB,OFIB,OFIB
CL-OOIL,other oil crops,260,OOIL,OOIL,OOIL
CL-OOIL,other oil crops,263,OOIL,OOIL,OOIL
CL-OOIL,other oil crops,292,OOIL,OOIL,OOIL
CL-OOIL,other oil crops,265,OOIL,OOIL,OOIL
CL-OOIL,other oil crops,275,OOIL,OOIL,OOIL
CL-OOIL,other oil crops,277,OOIL,OOIL,OOIL
CL-OOIL,other oil crops,280,OOIL,OOIL,OOIL
CL-OOIL,other oil crops,296,OOIL,OOIL,OOIL
CL-OOIL,other oil crops,299,OOIL,OOIL,OOIL
CL-OOIL,other oil crops,305,OOIL,OOIL,OOIL
CL-OOIL,other oil crops,310,OOIL,OOIL,OOIL
CL-OOIL,other oil crops,333,OOIL,OOIL,OOIL
CL-OOIL,other oil crops,339,OOIL,OOIL,OOIL
CL-OOIL,other oil crops,336,OOIL,OOIL,OOIL
CL-OOIL,other oil crops,249,OOIL,CNUT,CNUT
CL-OOIL,other oil crops,254,OOIL,OILP,OILP
CL-OOIL,other oil crops,267,OOIL,SUNF,SUNF
CL-OOIL,other oil crops,270,OOIL,RAPE,RAPE
CL-OOIL,other oil crops,289,OOIL,SESA,SESA
CL-OPUL,other pulses,181,OPUL,OPUL,OPUL
CL-OPUL,other pulses,187,OPUL,OPUL,OPUL
CL-OPUL,other pulses,203,OPUL,OPUL,OPUL
CL-OPUL,other pulses,205,OPUL,OPUL,OPUL
CL-OPUL,other pulses,210,OPUL,OPUL,OPUL
CL-OPUL,other pulses,211,OPUL,OPUL,OPUL
CL-OPUL,other pulses,191,OPUL,CHIC,CHIC
CL-OPUL,other pulses,195,OPUL,COWP,COWP
CL-OPUL,other pulses,197,OPUL,PIGE,PIGE
CL-OPUL,other pulses,201,OPUL,LENT,LENT
CL-POTA,potato,116,POTA,POTA,POTA
CL-REST,rest of crops,71,OTHE,OCER,OCER
CL-REST,rest of crops,75,OTHE,OCER,OCER
CL-REST,rest of crops,89,OTHE,OCER,OCER
